Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
28008 Aldea del Fresno;Todas las edades;Total;1 de enero de 2022;3.227
37015 Aldea del Obispo;Todas las edades;Total;1 de enero de 2022;275
10013 Aldea del Obispo, La;Todas las edades;Total;1 de enero de 2022;305
13009 Aldea del Rey;Todas las edades;Total;1 de enero de 2022;1.580
45008 Aldea en Cabo;Todas las edades;Total;1 de enero de 2022;187
43904 Aldea, L';Todas las edades;Total;1 de enero de 2022;4.332
40012 Aldea Real;Todas las edades;Total;1 de enero de 2022;283
10011 Aldeacentenera;Todas las edades;Total;1 de enero de 2022;585
37013 Aldeacipreste;Todas las edades;Total;1 de enero de 2022;98
37014 Aldeadávila de la Ribera;Todas las edades;Total;1 de enero de 2022;1.159
42009 Aldealafuente;Todas las edades;Total;1 de enero de 2022;80
40006 Aldealcorvo;Todas las edades;Total;1 de enero de 2022;19
37016 Aldealengua;Todas las edades;Total;1 de enero de 2022;674
40007 Aldealengua de Pedraza;Todas las edades;Total;1 de enero de 2022;81
40008 Aldealengua de Santa María;Todas las edades;Total;1 de enero de 2022;61
42010 Aldealices;Todas las edades;Total;1 de enero de 2022;22
42011 Aldealpozo;Todas las edades;Total;1 de enero de 2022;18
42012 Aldealseñor;Todas las edades;Total;1 de enero de 2022;27
47007 Aldeamayor de San Martín;Todas las edades;Total;1 de enero de 2022;5.896
45009 Aldeanueva de Barbarroya;Todas las edades;Total;1 de enero de 2022;482
26008 Aldeanueva de Ebro;Todas las edades;Total;1 de enero de 2022;2.786
37017 Aldeanueva de Figueroa;Todas las edades;Total;1 de enero de 2022;239
19015 Aldeanueva de Guadalajara;Todas las edades;Total;1 de enero de 2022;106
40009 Aldeanueva de la Serrezuela;Todas las edades;Total;1 de enero de 2022;41
37018 Aldeanueva de la Sierra;Todas las edades;Total;1 de enero de 2022;106
10014 Aldeanueva de la Vera;Todas las edades;Total;1 de enero de 2022;2.025
45010 Aldeanueva de San Bartolomé;Todas las edades;Total;1 de enero de 2022;416
05007 Aldeanueva de Santa Cruz;Todas las edades;Total;1 de enero de 2022;104
10015 Aldeanueva del Camino;Todas las edades;Total;1 de enero de 2022;742
40010 Aldeanueva del Codonal;Todas las edades;Total;1 de enero de 2022;114
23004 Aldeaquemada;Todas las edades;Total;1 de enero de 2022;463
37019 Aldearrodrigo;Todas las edades;Total;1 de enero de 2022;148
37020 Aldearrubia;Todas las edades;Total;1 de enero de 2022;524
05008 Aldeaseca;Todas las edades;Total;1 de enero de 2022;217
37021 Aldeaseca de Alba;Todas las edades;Total;1 de enero de 2022;72
37022 Aldeaseca de la Frontera;Todas las edades;Total;1 de enero de 2022;251
40013 Aldeasoña;Todas las edades;Total;1 de enero de 2022;65
37023 Aldeatejada;Todas las edades;Total;1 de enero de 2022;2.417
37024 Aldeavieja de Tormes;Todas las edades;Total;1 de enero de 2022;104
40014 Aldehorno;Todas las edades;Total;1 de enero de 2022;52
10016 Aldehuela de Jerte;Todas las edades;Total;1 de enero de 2022;365
37025 Aldehuela de la Bóveda;Todas las edades;Total;1 de enero de 2022;285
50016 Aldehuela de Liestos;Todas las edades;Total;1 de enero de 2022;52
42013 Aldehuela de Periáñez;Todas las edades;Total;1 de enero de 2022;35
37026 Aldehuela de Yeltes;Todas las edades;Total;1 de enero de 2022;191
40015 Aldehuela del Codonal;Todas las edades;Total;1 de enero de 2022;23
05010 Aldehuela, La;Todas las edades;Total;1 de enero de 2022;148
42014 Aldehuelas, Las;Todas las edades;Total;1 de enero de 2022;58
18010 Aldeire;Todas las edades;Total;1 de enero de 2022;603
40016 Aldeonte;Todas las edades;Total;1 de enero de 2022;55
